admin2_idx,ineffective_freq,opposite_freq
381,0.08012170385395538,0.0
382,0.03468559837728195,0.0
383,0.03541381334376834,0.0
384,0.05090162063455832,0.0
385,0.003195617438940881,0.0
386,0.012220817530552043,0.0
387,0.038336713995943204,0.0
388,0.09688385269121813,0.0
389,0.0031605562579013905,0.01643489254108723
390,0.07667342799188641,0.0
391,0.07079646017699115,0.0006321112515802782
392,0.11501014198782962,0.0
393,0.008006742520016857,0.010745891276864728
394,0.00039108330074305825,0.003910833007430583
395,0.005475166210402816,0.007039499413375049
396,0.003324208056315995,0.019554165037152915
397,0.0389127884239343,0.0011732499022291747
398,0.013883457176378568,0.0
399,0.012905748924520923,0.0
400,0.04359286293592863,0.0
401,0.0,0.026217961260027393
402,0.008575077540594781,0.018427294289363256
403,0.0074803867907316185,0.005291005291005291
404,0.0,0.012165450121654502
405,0.03319795161575137,0.0
406,0.017207665232694565,0.008603832616347283
407,0.014861165428236215,0.001368791552600704
408,0.011151662611516627,0.0113544201135442
409,0.020837012184354582,0.0001765848490199541
410,0.004888541259288229,0.009777082518576457
411,0.0,0.022087568412822518
412,0.009732360097323601,0.0026358475263584752
413,0.0,0.006257332811888932
414,0.0,0.01759874853343762
415,0.004692999608916699,0.00039108330074305825
416,0.009972624168947985,0.00039108330074305825
417,0.027962456003128668,0.0009777082518576457
418,0.02248728979272585,0.0009777082518576457
419,0.06810403832991102,0.0008555783709787816
420,0.004106776180698152,0.01351813826146475
421,0.0,0.006750592957489509
422,0.12978986402966625,0.0010595090941197245
439,0.09851973684210526,0.000493421052631579
440,0.08317669172932331,0.0012531328320802004
441,0.08766447368421053,0.0003289473684210526
442,0.09089335180055402,0.0013850415512465374
443,0.07612781954887218,0.0006265664160401002
444,0.019078947368421053,0.000493421052631579
445,0.06037151702786378,0.0009674922600619195
446,0.10320723684210527,0.0
447,0.05959752321981424,0.0001934984520123839
448,0.037345201238390094,0.00696594427244582
449,0.06434474616292798,0.018890200708382526
450,0.0448642266824085,0.01770956316410862
451,0.03896103896103896,0.010625737898465172
452,0.0023612750885478157,0.0059031877213695395
453,0.0,0.0
