admin2_idx,n_samples,r2_full,r2_no_energy,r2_no_surface,r2_no_root,delta_energy,delta_surface,delta_root,max_delta,dominance_class,koppen_id,koppen_name,total_mismatch_freq,risk_class,avg_production
990,1051,0.3620173009428333,0.3020745320999366,0.3619863963286024,0.2339681881417201,0.0599427688428967,3.090461423094215e-05,0.1280491128011132,0.1280491128011132,1,2,Savanna,,,4053.0
991,1051,0.2884175147369013,0.238544481346993,0.2770499689163462,0.1927840447571179,0.0498730333899083,0.0113675458205551,0.0956334699797833,0.0956334699797833,1,2,Savanna,,,3357.0
992,1051,0.25155229690767,0.2134276046946651,0.2458407335230625,0.2021345840043626,0.0381246922130048,0.0057115633846074,0.0494177129033073,0.0494177129033073,1,2,Savanna,,,3293.5
993,1051,0.1666802730611203,0.0875842954903747,0.1706306127367465,0.0972081010781584,0.0790959775707456,0.0,0.0694721719829618,0.0790959775707456,4,2,Savanna,,,45659.0
995,1051,0.2226067761792407,0.1694009787207908,0.2182671618466551,0.1789825874278885,0.0532057974584498,0.0043396143325855,0.0436241887513522,0.0532057974584498,2,2,Savanna,,,2523.0
996,1051,0.1810596564644987,0.1193649512564782,0.1855428490184376,0.082750632074903,0.0616947052080204,0.0,0.0983090243895956,0.0983090243895956,1,2,Savanna,,,12098.0
997,1051,0.1397248206965765,0.1182302512319048,0.1418797165443567,0.0970976184628624,0.0214945694646716,0.0,0.042627202233714,0.042627202233714,1,2,Savanna,,,30264.5
998,1051,0.4065732061448617,0.3608668077924801,0.4058725021000728,0.2668703624842893,0.0457063983523815,0.0007007040447888,0.1397028436605724,0.1397028436605724,1,2,Savanna,,,13658.5
999,1051,0.3056952926530251,0.2753545990919327,0.3057519637504671,0.218566853828256,0.0303406935610923,0.0,0.087128438824769,0.087128438824769,1,2,Savanna,,,4861.5
1000,1051,0.0870537958342467,-0.0977235605349533,0.0740431107993858,0.0385514259384567,0.1847773563692001,0.0130106850348609,0.04850236989579,0.1847773563692001,2,2,Savanna,,,403.0
